,Star Name,Distance,Mass,Radius
137,LHS 2924,LHS 2924,LHS 2924,LHS 2924
138,2MASS J14392837+1929150,2MASS J14392837+1929150,2MASS J14392837+1929150,2MASS J14392837+1929150
139,LSPM J1440+1339,LSPM J1440+1339,LSPM J1440+1339,LSPM J1440+1339
140,2MASS J14482563+1031590 [de],2MASS J14482563+1031590 [de],2MASS J14482563+1031590 [de],2MASS J14482563+1031590 [de]
141,CFBDSIR 1458+10A,CFBDSIR 1458+10A,CFBDSIR 1458+10A,CFBDSIR 1458+10A
142,CFBDSIR 1458+10B,CFBDSIR 1458+10B,CFBDSIR 1458+10B,CFBDSIR 1458+10B
143,TVLM 513-46546,TVLM 513-46546,TVLM 513-46546,TVLM 513-46546
144,2MASS 1503+2525,2MASS 1503+2525,2MASS 1503+2525,2MASS 1503+2525
145,CFBDS J150411+102717,CFBDS J150411+102717,CFBDS J150411+102717,CFBDS J150411+102717
146,2MASSW J1506544+132106 [de],2MASSW J1506544+132106 [de],2MASSW J1506544+132106 [de],2MASSW J1506544+132106 [de]
147,2MASS 1507−1627,2MASS 1507−1627,2MASS 1507−1627,2MASS 1507−1627
148,TVLM 868-110639,TVLM 868-110639,TVLM 868-110639,TVLM 868-110639
149,SDSS J151114.66+060742.9 [de],SDSS J151114.66+060742.9 [de],SDSS J151114.66+060742.9 [de],SDSS J151114.66+060742.9 [de]
150,2MASSW J1515008+484742 [de],2MASSW J1515008+484742 [de],2MASSW J1515008+484742 [de],2MASSW J1515008+484742 [de]
151,2MASSI J1526140+204341 [de],2MASSI J1526140+204341 [de],2MASSI J1526140+204341 [de],2MASSI J1526140+204341 [de]
152,DENIS-P J153941.96-052042.4 [de],DENIS-P J153941.96-052042.4 [de],DENIS-P J153941.96-052042.4 [de],DENIS-P J153941.96-052042.4 [de]
153,2MASS J15462718-3325111 [de],2MASS J15462718-3325111 [de],2MASS J15462718-3325111 [de],2MASS J15462718-3325111 [de]
154,2MASSW J1552591+294849 [de],2MASSW J1552591+294849 [de],2MASSW J1552591+294849 [de],2MASSW J1552591+294849 [de]
155,2MASSW J1555157-095605 [de],2MASSW J1555157-095605 [de],2MASSW J1555157-095605 [de],2MASSW J1555157-095605 [de]
156,2MASS J16150413+1340079 [de],2MASS J16150413+1340079 [de],2MASS J16150413+1340079 [de],2MASS J16150413+1340079 [de]
157,SDSSp J162414.37+002915.6 [de],SDSSp J162414.37+002915.6 [de],SDSSp J162414.37+002915.6 [de],SDSSp J162414.37+002915.6 [de]
158,2MASS J16262034+3925190 [de],2MASS J16262034+3925190 [de],2MASS J16262034+3925190 [de],2MASS J16262034+3925190 [de]
159,2MASSW J1632291+190441 [de],2MASSW J1632291+190441 [de],2MASSW J1632291+190441 [de],2MASSW J1632291+190441 [de]
160,WISEPA J164715.59+563208.2,WISEPA J164715.59+563208.2,WISEPA J164715.59+563208.2,WISEPA J164715.59+563208.2
161,LSPM J1658+7027 [de],LSPM J1658+7027 [de],LSPM J1658+7027 [de],LSPM J1658+7027 [de]
162,2MASSI J1726000+153819,2MASSI J1726000+153819,2MASSI J1726000+153819,2MASSI J1726000+153819
163,2MASSW J1728114+394859,2MASSW J1728114+394859,2MASSW J1728114+394859,2MASSW J1728114+394859
164,SDSSp J175032.96+175903.9,SDSSp J175032.96+175903.9,SDSSp J175032.96+175903.9,SDSSp J175032.96+175903.9
165,2MASS J18283572-4849046,2MASS J18283572-4849046,2MASS J18283572-4849046,2MASS J18283572-4849046
166,LSR J1835+3259,LSR J1835+3259,LSR J1835+3259,LSR J1835+3259
167,2MASSW J1841086+311727,2MASSW J1841086+311727,2MASSW J1841086+311727,2MASSW J1841086+311727
168,2MASS J18432213+4040209,2MASS J18432213+4040209,2MASS J18432213+4040209,2MASS J18432213+4040209
169,2MASS J20004841-7523070,2MASS J20004841-7523070,2MASS J20004841-7523070,2MASS J20004841-7523070
170,SDSS J204749.61-071818.3,SDSS J204749.61-071818.3,SDSS J204749.61-071818.3,SDSS J204749.61-071818.3
171,2MASSI J2057540-025230,2MASSI J2057540-025230,2MASSI J2057540-025230,2MASSI J2057540-025230
172,2MASSW J2101154+175658,2MASSW J2101154+175658,2MASSW J2101154+175658,2MASSW J2101154+175658
173,2MASSI J2104149-103736,2MASSI J2104149-103736,2MASSI J2104149-103736,2MASSI J2104149-103736
174,PSO J318.5−22,PSO J318.5−22,PSO J318.5−22,PSO J318.5−22
175,HB 2124-4228,HB 2124-4228,HB 2124-4228,HB 2124-4228
176,2MASS J21392676+0220226,2MASS J21392676+0220226,2MASS J21392676+0220226,2MASS J21392676+0220226
177,2MASS J21481628+4003593,2MASS J21481628+4003593,2MASS J21481628+4003593,2MASS J21481628+4003593
178,2MASS J14112131-2119503,2MASS J14112131-2119503,2MASS J14112131-2119503,2MASS J14112131-2119503
179,2MASSW J2206450-421721,2MASSW J2206450-421721,2MASSW J2206450-421721,2MASSW J2206450-421721
180,2MASSW J2208136+292121,2MASSW J2208136+292121,2MASSW J2208136+292121,2MASSW J2208136+292121
181,2MASSW J2224438-015852,2MASSW J2224438-015852,2MASSW J2224438-015852,2MASSW J2224438-015852
182,2MASS J22282889-4310262,2MASS J22282889-4310262,2MASS J22282889-4310262,2MASS J22282889-4310262
183,2MASS J22373255+3922398,2MASS J22373255+3922398,2MASS J22373255+3922398,2MASS J22373255+3922398
184,2MASSW J2244316+204343,2MASSW J2244316+204343,2MASSW J2244316+204343,2MASSW J2244316+204343
185,2MASS J23224684-3133231,2MASS J23224684-3133231,2MASS J23224684-3133231,2MASS J23224684-3133231
186,2MASS J23225299-6151275,2MASS J23225299-6151275,2MASS J23225299-6151275,2MASS J23225299-6151275
187,2MASS J23515044-2537367,2MASS J23515044-2537367,2MASS J23515044-2537367,2MASS J23515044-2537367
188,2MASSI J2356547-155310,2MASSI J2356547-155310,2MASSI J2356547-155310,2MASSI J2356547-155310
189,WISE 0005+3737,WISE 0005+3737,WISE 0005+3737,WISE 0005+3737
